PID,Province,DID,District,Crop,Year,(Area in '000' Hectares),"(Production in ""000""Tonnes)"
1,Balochistan,126,Kharan,Wheat,1992-93,27,30.8
1,Balochistan,124,Khuzdar,Wheat,1992-93,62.3,139.3
1,Balochistan,13,KILLA ABDULLAH,Wheat,1992-93,0,0
1,Balochistan,114,KILLA SAIFULLAH ,Wheat,1992-93,6.4,13.6
1,Balochistan,18,Kohlu,Wheat,1992-93,6,7.3
1,Balochistan,121,Lasbela,Wheat,1992-93,0.4,1
1,Balochistan,111,Loralai,Wheat,1992-93,14.2,25.3
1,Balochistan,122,Mastung,Wheat,1992-93,19.2,36.8
1,Balochistan,112,MUSA KHEL,Wheat,1992-93,9.8,11.1
1,Balochistan,118,NASEERABAD,Wheat,1992-93,57.3,148.9
1,Balochistan,130,PANJGUR,Wheat,1992-93,2.2,2.7
1,Balochistan,12,Pishin,Wheat,1992-93,26.5,48.7
1,Balochistan,11,Quetta,Wheat,1992-93,2.9,5.9
1,Balochistan,16,Sibi,Wheat,1992-93,13.9,27.5
1,Balochistan,134,Tomboo,Wheat,1992-93,0,0
1,Balochistan,135,Turbat,Wheat,1992-93,1.1,2.1
1,Balochistan,115,Zhob,Wheat,1992-93,3,5.3
1,Balochistan,110,Ziarat,Wheat,1992-93,0,0
1,Balochistan,125,Awaran,Wheat,1993-94,0,0
1,Balochistan,113,Barkhan,Wheat,1993-94,11.2,20
1,Balochistan,119,Bolan,Wheat,1993-94,9.3,24.5
1,Balochistan,15,Chagai,Wheat,1993-94,14.2,20.8
1,Balochistan,19,DERA BUGTI,Wheat,1993-94,0.9,1.5
1,Balochistan,129,Gwadar,Wheat,1993-94,0.1,0.1
1,Balochistan,117,JAFARABAD,Wheat,1993-94,75.8,201
1,Balochistan,120,JHAL MAGSI,Wheat,1993-94,9.7,24
1,Balochistan,128,KACHHI,Wheat,1993-94,0,0
1,Balochistan,123,Kalat,Wheat,1993-94,9.2,18.7
1,Balochistan,126,Kharan,Wheat,1993-94,18.1,22
1,Balochistan,124,Khuzdar,Wheat,1993-94,30.3,72.6
1,Balochistan,13,KILLA ABDULLAH,Wheat,1993-94,0,0
1,Balochistan,114,KILLA SAIFULLAH ,Wheat,1993-94,3,7.1
1,Balochistan,18,Kohlu,Wheat,1993-94,6.4,8.5
1,Balochistan,121,Lasbela,Wheat,1993-94,1.2,3.3
1,Balochistan,111,Loralai,Wheat,1993-94,14.2,28.2
1,Balochistan,122,Mastung,Wheat,1993-94,15.5,35
1,Balochistan,112,MUSA KHEL,Wheat,1993-94,4.9,6.6
1,Balochistan,118,NASEERABAD,Wheat,1993-94,57.5,152.4
1,Balochistan,130,PANJGUR,Wheat,1993-94,1,1.5
1,Balochistan,12,Pishin,Wheat,1993-94,22.1,46.3
1,Balochistan,11,Quetta,Wheat,1993-94,3.4,7.3
1,Balochistan,16,Sibi,Wheat,1993-94,16.3,34.8
1,Balochistan,134,Tomboo,Wheat,1993-94,0,0
1,Balochistan,135,Turbat,Wheat,1993-94,1.7,3.4
1,Balochistan,115,Zhob,Wheat,1993-94,2.3,4.5
1,Balochistan,110,Ziarat,Wheat,1993-94,0,0
1,Balochistan,125,Awaran,Wheat,1994-95,0,0
1,Balochistan,113,Barkhan,Wheat,1994-95,11.2,19.8
1,Balochistan,119,Bolan,Wheat,1994-95,9.7,22.4
1,Balochistan,15,Chagai,Wheat,1994-95,8.3,15.5
1,Balochistan,19,DERA BUGTI,Wheat,1994-95,5.6,8
1,Balochistan,129,Gwadar,Wheat,1994-95,0.1,0.1
1,Balochistan,117,JAFARABAD,Wheat,1994-95,78.9,210.8
1,Balochistan,120,JHAL MAGSI,Wheat,1994-95,10.6,25.1
1,Balochistan,128,KACHHI,Wheat,1994-95,0,0
1,Balochistan,123,Kalat,Wheat,1994-95,12.6,22.7
1,Balochistan,126,Kharan,Wheat,1994-95,1.8,2.4
1,Balochistan,124,Khuzdar,Wheat,1994-95,42.9,104.1
1,Balochistan,13,KILLA ABDULLAH,Wheat,1994-95,0,0
1,Balochistan,114,KILLA SAIFULLAH ,Wheat,1994-95,6.6,14.9
1,Balochistan,18,Kohlu,Wheat,1994-95,5.7,7.8
1,Balochistan,121,Lasbela,Wheat,1994-95,3.7,8.3
1,Balochistan,111,Loralai,Wheat,1994-95,15.1,29.8
1,Balochistan,122,Mastung,Wheat,1994-95,19.2,38.2
1,Balochistan,112,MUSA KHEL,Wheat,1994-95,1.5,2.2
1,Balochistan,118,NASEERABAD,Wheat,1994-95,59.1,157.8
1,Balochistan,130,PANJGUR,Wheat,1994-95,1.7,2.4
1,Balochistan,12,Pishin,Wheat,1994-95,22.2,46.8
