Year,PID,Province,DID,District,Livestock,Livestock Type,Sex,Farm Type,NUMBER OF FARMS,NUMBER OF ANIMALS
1996,1,Balochistan,119,BOLAN,Goats,MALE GOATS 1 YEAR AND OVER,M,FARM HOUSEHOLDS,9002,50145
1996,1,Balochistan,119,BOLAN,Goats,MALE GOATS 1 YEAR AND OVER,M,NON-FARM HOUSEHOLDS,22839,51330
1996,1,Balochistan,119,BOLAN,Goats,MALE GOATS 1 YEAR AND OVER,M,Other,1114,1198
1996,1,Balochistan,119,BOLAN,Goats,FEMALE GOATS 1 YEAR AND OVER,F,FARM HOUSEHOLDS,15099,158862
1996,1,Balochistan,119,BOLAN,Goats,FEMALE GOATS 1 YEAR AND OVER,F,NON-FARM HOUSEHOLDS,26472,288175
1996,1,Balochistan,119,BOLAN,Goats,FEMALE GOATS 1 YEAR AND OVER,F,Other,2730,5318
1996,1,Balochistan,119,BOLAN,Goats,YOUNGSTOCK UNDER 1 YEAR,,FARM HOUSEHOLDS,14697,74966
1996,1,Balochistan,119,BOLAN,Goats,YOUNGSTOCK UNDER 1 YEAR,,NON-FARM HOUSEHOLDS,26223,121209
1996,1,Balochistan,119,BOLAN,Goats,YOUNGSTOCK UNDER 1 YEAR,,Other,2652,2817
1996,1,Balochistan,119,BOLAN,Sheep,MALE SHEEP 1 YEAR AND OVER,M,FARM HOUSEHOLDS,484,1489
1996,1,Balochistan,119,BOLAN,Sheep,MALE SHEEP 1 YEAR AND OVER,M,NON-FARM HOUSEHOLDS,686,1233
1996,1,Balochistan,119,BOLAN,Sheep,MALE SHEEP 1 YEAR AND OVER,M,Other,12,23
1996,1,Balochistan,119,BOLAN,Sheep,FEMALE SHEEP 1 YEAR AND OVER,F,FARM HOUSEHOLDS,592,3738
1996,1,Balochistan,119,BOLAN,Sheep,FEMALE SHEEP 1 YEAR AND OVER,F,NON-FARM HOUSEHOLDS,535,1644
1996,1,Balochistan,119,BOLAN,Sheep,FEMALE SHEEP 1 YEAR AND OVER,F,Other,12,12
1996,1,Balochistan,119,BOLAN,Sheep,YOUNGSTOCK UNDER 1 YEAR,,FARM HOUSEHOLDS,558,1527
1996,1,Balochistan,119,BOLAN,Sheep,YOUNGSTOCK UNDER 1 YEAR,,NON-FARM HOUSEHOLDS,557,1400
1996,1,Balochistan,119,BOLAN,Sheep,YOUNGSTOCK UNDER 1 YEAR,,Other,,
1996,1,Balochistan,119,BOLAN,Camel,CAMELS 3 YEARS AND OVER,,FARM HOUSEHOLDS,7287,9136
1996,1,Balochistan,119,BOLAN,Camel,CAMELS 3 YEARS AND OVER,,NON-FARM HOUSEHOLDS,10267,10810
1996,1,Balochistan,119,BOLAN,Camel,CAMELS 3 YEARS AND OVER,,Other,784,1290
1996,1,Balochistan,119,BOLAN,Camel,CAMELS UNDER 3 YEARS,,FARM HOUSEHOLDS,3807,4723
1996,1,Balochistan,119,BOLAN,Camel,CAMELS UNDER 3 YEARS,,NON-FARM HOUSEHOLDS,1423,1921
1996,1,Balochistan,119,BOLAN,Camel,CAMELS UNDER 3 YEARS,,Other,407,2539
1996,1,Balochistan,119,BOLAN,Horses,,,FARM HOUSEHOLDS,551,728
1996,1,Balochistan,119,BOLAN,Horses,,,NON-FARM HOUSEHOLDS,622,1062
1996,1,Balochistan,119,BOLAN,Horses,,,Other,37,400
1996,1,Balochistan,119,BOLAN,Mules,,,FARM HOUSEHOLDS,108,198
1996,1,Balochistan,119,BOLAN,Mules,,,NON-FARM HOUSEHOLDS,5,9
1996,1,Balochistan,119,BOLAN,Mules,,,Other,4,8
1996,1,Balochistan,119,BOLAN,Donkeys,,,FARM HOUSEHOLDS,4480,8720
1996,1,Balochistan,119,BOLAN,Donkeys,,,NON-FARM HOUSEHOLDS,1834,3577
1996,1,Balochistan,119,BOLAN,Donkeys,,,Other,711,1572
1996,1,Balochistan,14,NUSHKI,Cattle,BULLS AND BULLOCKS 3 YEARS AND OVER,M,FARM HOUSEHOLDS,92,116
1996,1,Balochistan,15,CHAGAI,Cattle,BULLS AND BULLOCKS 3 YEARS AND OVER,M,NON-FARM HOUSEHOLDS,21,41
1996,1,Balochistan,15,CHAGAI,Cattle,BULLS AND BULLOCKS 3 YEARS AND OVER,M,Other,,
1996,1,Balochistan,15,CHAGAI,Cattle,COWS 3 YEARS AND OVER,F,FARM HOUSEHOLDS,215,594
1996,1,Balochistan,15,CHAGAI,Cattle,COWS 3 YEARS AND OVER,F,NON-FARM HOUSEHOLDS,118,156
1996,1,Balochistan,15,CHAGAI,Cattle,COWS 3 YEARS AND OVER,F,Other,,
1996,1,Balochistan,15,CHAGAI,Cattle,YOUNGSTOCK UNDER 3 YEARS,,FARM HOUSEHOLDS,151,302
1996,1,Balochistan,15,CHAGAI,Cattle,YOUNGSTOCK UNDER 3 YEARS,,NON-FARM HOUSEHOLDS,102,111
1996,1,Balochistan,15,CHAGAI,Cattle,YOUNGSTOCK UNDER 3 YEARS,,Other,,
1996,1,Balochistan,15,CHAGAI,Buffaloes,MALE BUFFALOES 3 YEARS AND OVER,M,FARM HOUSEHOLDS,21,27
1996,1,Balochistan,15,CHAGAI,Buffaloes,MALE BUFFALOES 3 YEARS AND OVER,M,NON-FARM HOUSEHOLDS,12,121
1996,1,Balochistan,15,CHAGAI,Buffaloes,MALE BUFFALOES 3 YEARS AND OVER,M,Other,,
1996,1,Balochistan,15,CHAGAI,Buffaloes,FEMALE BUFFALOES 3 YEARS AND OVER,F,FARM HOUSEHOLDS,9,44
1996,1,Balochistan,15,CHAGAI,Buffaloes,FEMALE BUFFALOES 3 YEARS AND OVER,F,NON-FARM HOUSEHOLDS,10,25
1996,1,Balochistan,15,CHAGAI,Buffaloes,FEMALE BUFFALOES 3 YEARS AND OVER,F,Other,,
1996,1,Balochistan,15,CHAGAI,Buffaloes,YOUNGSTOCK UNDER 3 YEARS,,FARM HOUSEHOLDS,2,12
1996,1,Balochistan,15,CHAGAI,Buffaloes,YOUNGSTOCK UNDER 3 YEARS,,NON-FARM HOUSEHOLDS,8,14
1996,1,Balochistan,15,CHAGAI,Buffaloes,YOUNGSTOCK UNDER 3 YEARS,,Other,,
1996,1,Balochistan,15,CHAGAI,Goats,MALE GOATS 1 YEAR AND OVER,M,FARM HOUSEHOLDS,2060,13738
1996,1,Balochistan,15,CHAGAI,Goats,MALE GOATS 1 YEAR AND OVER,M,NON-FARM HOUSEHOLDS,550,3000
1996,1,Balochistan,15,CHAGAI,Goats,MALE GOATS 1 YEAR AND OVER,M,Other,15,21
1996,1,Balochistan,15,CHAGAI,Goats,FEMALE GOATS 1 YEAR AND OVER,F,FARM HOUSEHOLDS,2198,43705
1996,1,Balochistan,15,CHAGAI,Goats,FEMALE GOATS 1 YEAR AND OVER,F,NON-FARM HOUSEHOLDS,711,11848
1996,1,Balochistan,15,CHAGAI,Goats,FEMALE GOATS 1 YEAR AND OVER,F,Other,228,439
1996,1,Balochistan,15,CHAGAI,Goats,YOUNGSTOCK UNDER 1 YEAR,,FARM HOUSEHOLDS,2076,17220
1996,1,Balochistan,15,CHAGAI,Goats,YOUNGSTOCK UNDER 1 YEAR,,NON-FARM HOUSEHOLDS,674,5420
1996,1,Balochistan,15,CHAGAI,Goats,YOUNGSTOCK UNDER 1 YEAR,,Other,216,234
1996,1,Balochistan,15,CHAGAI,Sheep,MALE SHEEP 1 YEAR AND OVER,M,FARM HOUSEHOLDS,1200,4725
1996,1,Balochistan,15,CHAGAI,Sheep,MALE SHEEP 1 YEAR AND OVER,M,NON-FARM HOUSEHOLDS,327,2015
1996,1,Balochistan,15,CHAGAI,Sheep,MALE SHEEP 1 YEAR AND OVER,M,Other,6,18
1996,1,Balochistan,15,CHAGAI,Sheep,FEMALE SHEEP 1 YEAR AND OVER,F,FARM HOUSEHOLDS,1283,9872
1996,1,Balochistan,15,CHAGAI,Sheep,FEMALE SHEEP 1 YEAR AND OVER,F,NON-FARM HOUSEHOLDS,400,3985
1996,1,Balochistan,15,CHAGAI,Sheep,FEMALE SHEEP 1 YEAR AND OVER,F,Other,7,7
1996,1,Balochistan,15,CHAGAI,Sheep,YOUNGSTOCK UNDER 1 YEAR,,FARM HOUSEHOLDS,1190,9265
1996,1,Balochistan,15,CHAGAI,Sheep,YOUNGSTOCK UNDER 1 YEAR,,NON-FARM HOUSEHOLDS,369,2360
1996,1,Balochistan,15,CHAGAI,Sheep,YOUNGSTOCK UNDER 1 YEAR,,Other,,
1996,1,Balochistan,15,CHAGAI,Camel,CAMELS 3 YEARS AND OVER,,FARM HOUSEHOLDS,744,2400
1996,1,Balochistan,15,CHAGAI,Camel,CAMELS 3 YEARS AND OVER,,NON-FARM HOUSEHOLDS,214,613
1996,1,Balochistan,15,CHAGAI,Camel,CAMELS 3 YEARS AND OVER,,Other,45,68
1996,1,Balochistan,15,CHAGAI,Camel,CAMELS UNDER 3 YEARS,,FARM HOUSEHOLDS,560,1794
1996,1,Balochistan,15,CHAGAI,Camel,CAMELS UNDER 3 YEARS,,NON-FARM HOUSEHOLDS,131,284
1996,1,Balochistan,15,CHAGAI,Camel,CAMELS UNDER 3 YEARS,,Other,29,44
1996,1,Balochistan,15,CHAGAI,Horses,,,FARM HOUSEHOLDS,41,51
1996,1,Balochistan,15,CHAGAI,Horses,,,NON-FARM HOUSEHOLDS,2,2
1996,1,Balochistan,15,CHAGAI,Horses,,,Other,,
1996,1,Balochistan,15,CHAGAI,Mules,,,FARM HOUSEHOLDS,4,4
1996,1,Balochistan,15,CHAGAI,Mules,,,NON-FARM HOUSEHOLDS,2,2
1996,1,Balochistan,15,CHAGAI,Mules,,,Other,,
1996,1,Balochistan,15,CHAGAI,Donkeys,,,FARM HOUSEHOLDS,135,320
1996,1,Balochistan,15,CHAGAI,Donkeys,,,NON-FARM HOUSEHOLDS,68,393
1996,1,Balochistan,15,CHAGAI,Donkeys,,,Other,2,2
1996,1,Balochistan,15,CHAGAI,Cattle,BULLS AND BULLOCKS 3 YEARS AND OVER,M,FARM HOUSEHOLDS,165,332
1996,1,Balochistan,19,DERA BUGTI,Cattle,BULLS AND BULLOCKS 3 YEARS AND OVER,M,NON-FARM HOUSEHOLDS,2597,6015
1996,1,Balochistan,19,DERA BUGTI,Cattle,BULLS AND BULLOCKS 3 YEARS AND OVER,M,Other,,
1996,1,Balochistan,19,DERA BUGTI,Cattle,COWS 3 YEARS AND OVER,F,FARM HOUSEHOLDS,9868,56305
1996,1,Balochistan,19,DERA BUGTI,Cattle,COWS 3 YEARS AND OVER,F,NON-FARM HOUSEHOLDS,2921,29500
1996,1,Balochistan,19,DERA BUGTI,Cattle,COWS 3 YEARS AND OVER,F,Other,,
1996,1,Balochistan,19,DERA BUGTI,Cattle,YOUNGSTOCK UNDER 3 YEARS,,FARM HOUSEHOLDS,9452,28111
1996,1,Balochistan,19,DERA BUGTI,Cattle,YOUNGSTOCK UNDER 3 YEARS,,NON-FARM HOUSEHOLDS,2814,11403
1996,1,Balochistan,19,DERA BUGTI,Cattle,YOUNGSTOCK UNDER 3 YEARS,,Other,,
1996,1,Balochistan,19,DERA BUGTI,Buffaloes,MALE BUFFALOES 3 YEARS AND OVER,M,FARM HOUSEHOLDS,1436,1495
1996,1,Balochistan,19,DERA BUGTI,Buffaloes,MALE BUFFALOES 3 YEARS AND OVER,M,NON-FARM HOUSEHOLDS,807,935
1996,1,Balochistan,19,DERA BUGTI,Buffaloes,MALE BUFFALOES 3 YEARS AND OVER,M,Other,,
1996,1,Balochistan,19,DERA BUGTI,Buffaloes,FEMALE BUFFALOES 3 YEARS AND OVER,F,FARM HOUSEHOLDS,951,3196
1996,1,Balochistan,19,DERA BUGTI,Buffaloes,FEMALE BUFFALOES 3 YEARS AND OVER,F,NON-FARM HOUSEHOLDS,572,3592
1996,1,Balochistan,19,DERA BUGTI,Buffaloes,FEMALE BUFFALOES 3 YEARS AND OVER,F,Other,,
1996,1,Balochistan,19,DERA BUGTI,Buffaloes,YOUNGSTOCK UNDER 3 YEARS,,FARM HOUSEHOLDS,780,1412
1996,1,Balochistan,19,DERA BUGTI,Buffaloes,YOUNGSTOCK UNDER 3 YEARS,,NON-FARM HOUSEHOLDS,514,1581
1996,1,Balochistan,19,DERA BUGTI,Buffaloes,YOUNGSTOCK UNDER 3 YEARS,,Other,,
1996,1,Balochistan,19,DERA BUGTI,Goats,MALE GOATS 1 YEAR AND OVER,M,FARM HOUSEHOLDS,10320,103403
1996,1,Balochistan,19,DERA BUGTI,Goats,MALE GOATS 1 YEAR AND OVER,M,NON-FARM HOUSEHOLDS,3757,34637
1996,1,Balochistan,19,DERA BUGTI,Goats,MALE GOATS 1 YEAR AND OVER,M,Other,,
1996,1,Balochistan,19,DERA BUGTI,Goats,FEMALE GOATS 1 YEAR AND OVER,F,FARM HOUSEHOLDS,12696,272235
1996,1,Balochistan,19,DERA BUGTI,Goats,FEMALE GOATS 1 YEAR AND OVER,F,NON-FARM HOUSEHOLDS,4459,133678
